ID,SRP,TDP,TDP_rerun,TDP_avg
1,1.76,2.3,2.36,2.33
2,2.4,2.98,2.9,2.94
3,2.38,3.02,2.91,2.965
4,1.59,2.1,2.23,2.165
5,1.9,2.48,2.43,2.455
6,1.4,1.96,2.13,2.045
7,0.93,1.55,1.58,1.565
8,1.39,1.89,2.05,1.97
9,1.37,2.01,2.02,2.015
10,1.34,1.86,1.89,1.875
11,1.25,1.82,1.97,1.895
12,1.17,1.69,1.81,1.75
13,1.09,1.59,1.73,1.66
14,0.82,1.48,1.53,1.505
15,0.35,0.88,1.02,0.95
16,0.54,1.04,1.1,1.07
17,0.64,1.17,1.31,1.24
18,0.27,0.96,0.79,0.875
19,0.2,0.83,0.96,0.895
20,0.2,1.04,1.06,1.05
21,0.82,1.32,1.42,1.37
22,0.35,0.98,0.82,0.9
23,1.45,1.84,1.96,1.9
24,1.29,1.72,1.74,1.73
25,1.14,1.62,1.65,1.635
26,1,1.53,1.58,1.555
27,0.71,1.19,1.13,1.16
28,0.59,1.12,1.13,1.125
29,0.13,0.6,0.63,0.615
30,0.02,0.97,1.01,0.99
31,0.03,0.52,0.51,0.515
32,0.05,0.5,0.59,0.545
33,2.23,2.6,2.82,2.71
34,2.06,2.12,2.36,2.24
35,1.78,1.87,2.11,1.99
36,1.51,1.78,2,1.89
37,0.93,1.37,1.45,1.41
38,0.35,0.79,0.84,0.815
39,0.05,0.54,0.54,0.54
40,0.05,0.51,0.62,0.565
41,2.04,2.44,2.23,2.335
42,1.99,2.45,2.41,2.43
43,1.86,2.32,2.35,2.335
44,1.77,2.21,2.2,2.205
45,1.56,1.85,1.92,1.885
46,1.05,1.5,1.51,1.505
47,0.05,0.52,0.63,0.575
48,0,0.49,0.65,0.57
49,0,0.64,0.72,0.68
